"","numberOfEpisodes","Finalization","originalTitle","startYear","endYear","runtimeMinutes","averageRating","numVotes","genre","GenderMale","GenderFeMale"
"276",14,1,"Sean's Show",1992,1993,30,8.1,94,"comedy",3,2
"277",21,1,"Secret Service",1992,1993,60,6.2,10,"action",3,0
"278",17,1,"Shaky Ground",1992,1993,30,7,28,"comedy",2,2
"279",13,0,"Shelley Duvall's Bedtime Stories",1992,0,30,7.5,100,"animation",2,2
"280",13,1,"Sitting Pretty",1992,1993,30,7.8,14,"comedy",1,4
"281",19,1,"So Haunt Me",1992,1994,30,7,69,"comedy",1,3
"282",7,0,"Stand by Your Man",1992,0,30,6.4,33,"comedy",1,3
"283",40,1,"Street Sharks",1994,1996,22,6.4,1785,"adventure",5,0
"284",65,1,"Taz-Mania",1991,1993,30,6.8,7641,"animation",3,2
"285",12,0,"Tequila and Bonetti",1992,0,60,6.3,267,"action",3,1
"286",26,1,"The Tomorrow People",1992,1995,25,7.4,296,"sci-fi",3,1
"287",15,0,"True Crimes",1991,0,30,7.1,8,"crime",3,1
"288",7,0,"Vinnie & Bobby",1992,0,30,5,67,"comedy",3,1
"289",11,0,"Woops!",1992,0,30,6.9,99,"comedy",3,1
"290",76,1,"X-Men",1992,1997,23,8.5,30908,"action",3,1
"291",28,1,"The Young Indiana Jones Chronicles",1992,1993,45,7.3,6289,"action",4,0
"292",21,1,"Les intrépides",1993,1996,26,8.1,212,"adventure",3,2
"293",71,0,"Tenchi Muyô!",1992,0,30,7.8,1709,"adventure",2,2
"294",13,0,"Truckers",1992,0,11,7.7,160,"adventure",3,2
"295",39,1,"Absolutely Fabulous",1992,2012,45,8.2,15915,"comedy",0,5
"296",22,1,"Acapulco H.E.A.T.",1993,1994,60,6,565,"action",2,2
"297",65,1,"Adelheid und ihre Mörder",1993,2007,50,7.1,130,"comedy",3,2
"298",27,1,"The Adventures of Brisco County Jr.",1993,1994,45,8.4,6898,"action",4,0
"299",39,1,"The Adventures of Pete & Pete",1992,1996,30,8.3,8374,"comedy",2,2
"300",8,1,"Against the Grain",1993,1994,60,6.3,38,"drama",3,2
"301",86,1,"Aladdin",1994,1995,30,7.2,6257,"adventure",4,1
"302",13,0,"Alaska Kid",1993,0,50,7.4,54,"adventure",4,1
"303",13,1,"Almost Home",1993,1993,30,7.7,294,"comedy",1,3
"304",99,1,"Animaniacs",1993,1998,21,7.9,18298,"animation",3,1
"305",67,1,"As Time Goes By",1992,2005,60,8.2,3167,"comedy",2,3
"306",17,0,"Bakersfield P.D.",1993,0,30,8.3,237,"comedy",4,0
"307",11,0,"Blanche",1993,0,60,7.4,127,"drama",3,2
"308",11,1,"Brighton Belles",1993,1994,30,4.6,19,"comedy",1,4
"309",18,1,"Cafe Americain",1993,1994,30,8.1,71,"comedy",2,2
"310",15,0,"The Chevy Chase Show",1993,0,60,2.9,174,"comedy",0,0
"311",17,0,"Class of '96",1993,0,60,7.3,138,"drama",3,2
"312",22,1,"Cobra",1993,1994,60,6.6,405,"action",3,1
"313",13,1,"Daddy Dearest",1993,1993,30,7.7,39,"comedy",2,2
"314",7,0,"Danger Theatre",1993,0,30,8.1,100,"comedy",4,0
"315",98,1,"Dave's World",1993,1997,30,6.6,567,"comedy",3,1
"316",13,1,"Droopy: Master Detective",1993,1994,30,6.4,516,"animation",4,1
"317",15,1,"Fallen Angels",1993,1995,30,6.4,345,"crime",4,1
"318",10,0,"Family Dog",1993,0,30,6.9,388,"animation",3,2
"319",62,1,"Flodder",1993,1998,30,6.8,1207,"comedy",2,2
"320",9,1,"George",1993,1994,30,4.4,21,"comedy",2,2
"321",31,1,"Getting By",1993,1994,30,7.2,35,"comedy",2,2
"322",19,1,"Good Advice",1993,1994,30,6.2,20,"comedy",3,1
"323",59,1,"Goodnight Sweetheart",1993,2016,30,7.6,1861,"comedy",3,1
"324",15,1,"Harts of the West",1993,1994,60,7.2,85,"comedy",2,2
"325",12,1,"Health and Efficiency",1993,1995,30,6.1,9,"comedy",3,2
"326",15,0,"Hello Kitty and Friends",1991,0,30,6.4,129,"animation",2,3
"327",13,1,"Home Free",1993,1993,30,7.6,21,"comedy",2,2
